Rank,Country,Cost of Living Index
1,Bermuda,141.8
2,Switzerland,114.2
3,Cayman Islands,103.4
4,Bahamas,90.9
5,Barbados,88.8
6,Norway,88.6
7,Singapore,85.9
8,Iceland,83.3
9,Jersey,80.0
10,Denmark,78.6
11,Israel,76.4
12,Hong Kong (China),75.7
13,Australia,75.3
14,Luxembourg,73.2
15,New Zealand,72.9
16,United States,72.4
17,Guernsey,71.0
18,Ireland,70.5
19,South Korea,70.4
20,Macao (China),68.8
21,France,68.7
22,Netherlands,68.6
23,Finland,67.5
24,Puerto Rico,67.0
25,Canada,66.1
26,Austria,66.0
27,Lebanon,65.8
28,Belgium,65.6
29,Japan,64.6
30,Germany,62.9
31,Sweden,62.9
32,Isle Of Man,61.8
33,United Kingdom,61.5
34,Malta,61.4
35,Italy,61.3
36,United Arab Emirates,60.3
37,Uruguay,59.9
38,Qatar,59.5
39,Yemen,58.8
40,Cyprus,55.9
41,Brunei,55.2
42,Maldives,55.0
43,Estonia,54.8
44,Greece,54.6
45,Taiwan (China),54.2
46,Jamaica,53.6
47,Trinidad And Tobago,53.3
48,Bahrain,52.7
49,Cuba,52.6
50,Latvia,50.9
51,Slovenia,50.8
52,Palestine,50.7
53,Spain,50.6
54,Saudi Arabia,50.6
55,Czech Republic,48.9
56,Costa Rica,48.8
57,Lithuania,48.8
58,Panama,48.2
59,Belize,48.0
60,Oman,47.8
61,Guyana,47.3
62,Kuwait,46.8
63,Jordan,46.8
64,Croatia,46.7
65,Senegal,46.4
66,Portugal,45.3
67,Cambodia,44.5
68,Slovakia,44.2
69,Chile,44.1
70,El Salvador,43.3
71,Ivory Coast,42.7
72,Ethiopia,42.3
73,Mauritius,42.2
74,Dominican Republic,41.8
75,Venezuela,41.6
76,Russia,40.8
77,Armenia,40.8
78,Zimbabwe,40.8
79,Thailand,40.7
80,Bulgaria,40.5
81,Guatemala,40.2
82,Hungary,39.2
83,China,39.2
84,Georgia,38.9
85,Montenegro,38.9
86,Honduras,38.8
87,Poland,38.6
88,Fiji,38.5
89,South Africa,37.8
90,Albania,37.4
91,Romania,37.4
92,Mexico,37.3
93,Serbia,37.2
94,Nicaragua,36.8
95,Namibia,35.8
96,Vietnam,35.7
97,Belarus,35.4
98,Iran,35.2
99,Bosnia And Herzegovina,35.1
100,Ecuador,35.1
101,Malaysia,35.0
102,Brazil,34.7
103,Botswana,34.4
104,Philippines,34.0
105,Cameroon,33.6
106,Myanmar,32.9
107,Peru,32.4
108,Kenya,32.4
109,Moldova,32.3
110,Uganda,32.1
111,Bolivia,31.9
112,Iraq,31.4
113,North Macedonia,31.4
114,Mongolia,31.2
115,Argentina,31.2
116,Indonesia,31.2
117,Nigeria,30.9
118,Tanzania,30.8
119,Rwanda,30.0
120,Morocco,29.3
121,Azerbaijan,28.9
122,Paraguay,28.6
123,Kosovo (Disputed Territory),28.4
124,Kazakhstan,28.1
125,Turkey,28.1
126,Algeria,27.6
127,Uzbekistan,27.0
128,Ghana,26.7
129,Bangladesh,26.6
130,Tunisia,26.5
131,Syria,26.1
132,Kyrgyzstan,25.9
133,Ukraine,25.6
134,Sri Lanka,25.3
135,Nepal,24.8
136,Libya,24.2
137,Colombia,23.1
138,India,22.4
139,Egypt,21.6
140,Pakistan,18.0
